temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,hour,day,month,day_of_week,is_weekend,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_6h,pm2_5_lag_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_6h,pm10_lag_24h,nitrogen_dioxide_lag_1h,nitrogen_dioxide_lag_2h,nitrogen_dioxide_lag_6h,nitrogen_dioxide_lag_24h,sulphur_dioxide_lag_1h,sulphur_dioxide_lag_2h,sulphur_dioxide_lag_6h,sulphur_dioxide_lag_24h,carbon_monoxide_lag_1h,carbon_monoxide_lag_2h,carbon_monoxide_lag_6h,carbon_monoxide_lag_24h,pm2_5_roll_mean_6h,pm2_5_roll_std_6h,pm2_5_roll_mean_24h,pm2_5_roll_std_24h,pm10_roll_mean_6h,pm10_roll_std_6h,pm10_roll_mean_24h,pm10_roll_std_24h,nitrogen_dioxide_roll_mean_6h,nitrogen_dioxide_roll_std_6h,nitrogen_dioxide_roll_mean_24h,nitrogen_dioxide_roll_std_24h,sulphur_dioxide_roll_mean_6h,sulphur_dioxide_roll_std_6h,sulphur_dioxide_roll_mean_24h,sulphur_dioxide_roll_std_24h,carbon_monoxide_roll_mean_6h,carbon_monoxide_roll_std_6h,carbon_monoxide_roll_mean_24h,carbon_monoxide_roll_std_24h
29.3,81,0.0,998.77155,15.602999,219,19,2,6,1,0,18.4,20.6,29.9,25.1,39.7,46.1,68.7,51.9,16.6,17.9,12.0,16.2,7.8,8.1,9.0,6.7,232.0,243.0,305.0,183.0,24.816666666666663,4.599746369819368,27.229166666666668,3.7400859286416175,56.48333333333333,11.663175668173093,59.98749999999999,11.913722905887251,16.816666666666666,2.6551208384302667,12.045833333333334,5.83333592132448,8.516666666666667,0.4792355023019719,8.108333333333334,0.8948726733168559,260.0,26.892378102354947,236.33333333333331,54.75690678425597
29.45,78,0.0,1000.3675,4.7521367,335,20,2,6,1,0,17.5,18.4,28.6,25.2,38.5,39.7,66.6,49.6,15.5,16.6,16.2,16.5,7.5,7.8,8.9,6.8,201.0,232.0,278.0,158.0,22.75,4.644459064304462,26.9125,4.219242926114241,51.45,11.851539984322626,59.42916666666667,12.603259729018646,17.4,1.5323185047502268,12.016666666666666,5.813377875111905,8.266666666666667,0.5609515724789702,8.141666666666667,0.8541034794585309,242.66666666666663,25.570816699250724,237.08333333333331,54.11414398944265
29.35,79,0.0,999.76843,5.2694216,277,21,2,6,1,0,16.8,17.5,27.3,24.8,36.9,38.5,62.6,46.7,14.4,15.5,19.0,16.2,7.2,7.5,8.8,6.9,163.0,201.0,255.0,143.0,20.78333333333333,4.143146952096512,26.5625,4.689656750209172,46.5,10.367834875228182,58.9,13.282220872442586,17.099999999999998,1.9370080020485132,11.929166666666664,5.758508198020273,7.983333333333334,0.6047037842337649,8.158333333333333,0.8303570037177799,223.5,35.10982768399763,237.29166666666663,53.80518737450679
28.95,82,0.0,999.2653,1.659518,167,22,2,6,1,0,16.6,16.8,24.1,24.6,37.1,36.9,55.2,47.0,13.7,14.4,19.2,15.1,7.2,7.2,8.5,6.9,146.0,163.0,247.0,142.0,19.0,2.890674661735563,26.22083333333333,5.104046064827776,42.25,7.1865847243316905,58.5,13.800063011828476,16.216666666666665,2.0989680003913,11.824999999999998,5.700209759679713,7.716666666666666,0.5192943930629732,8.170833333333333,0.8126602406089813,205.33333333333331,42.889004029782114,237.41666666666663,53.57961704154695
28.75,83,0.0,999.7609,1.5379207,290,23,2,6,1,0,16.8,16.6,20.6,24.0,37.4,37.1,46.1,46.6,13.8,13.7,17.9,13.5,7.6,7.2,8.1,6.8,167.0,146.0,243.0,150.0,17.783333333333335,1.5315569420255712,25.89583333333333,5.448452446151188,39.28333333333333,3.499952380628078,58.1,14.278716298408495,15.316666666666668,1.679781731852881,11.770833333333334,5.673851476705234,7.566666666666666,0.3502380143083347,8.200000000000001,0.7768386324517762,192.0,39.65854258542533,238.45833333333331,51.85932406765065
27.95,80,0.0,1000.4486,3.4576871,218,0,3,6,2,0,22.9,24.0,29.3,24.2,51.9,55.3,68.0,42.0,15.6,15.6,16.3,21.1,7.3,7.3,7.2,9.6,183.0,156.0,231.0,171.0,26.13333333333333,2.472785204312446,30.775,5.844823053073463,59.81666666666666,6.190449633642476,70.98333333333333,16.603133980397065,15.85,0.2738612787523557,11.858333333333333,5.651926694704991,7.233333333333334,0.0816496580928262,8.170833333333334,0.9129403841037584,180.33333333333331,31.302822024006705,248.70833333333331,58.83394403755784
27.9,81,0.0,1000.7469,1.609969,206,1,3,6,2,0,22.5,22.9,28.3,25.6,49.8,51.9,65.9,49.5,15.3,15.6,16.0,17.9,7.7,7.3,7.1,9.4,219.0,183.0,200.0,218.0,25.0,2.2821042920953274,30.70416666666667,5.937535659694584,56.78333333333333,5.826977489802415,71.30833333333332,16.07920387026206,15.683333333333335,0.2483277404289448,11.616666666666667,5.355831171371249,7.316666666666666,0.204124145231955,8.091666666666667,0.8647274849271236,178.33333333333334,27.580186124582955,250.70833333333331,56.86022462959088
28.55,78,0.0,1000.7547,4.5891175,205,2,3,6,2,0,24.3,22.5,26.8,26.2,54.2,49.8,60.1,57.5,14.8,15.3,15.9,13.5,8.9,7.7,7.2,9.1,276.0,219.0,165.0,277.0,24.33333333333333,1.6107969042267882,30.65,5.991805999065277,54.833333333333336,3.755351736743695,71.50416666666666,15.82871576450927,15.483333333333334,0.3868677637986264,11.4875,5.233696216533451,7.616666666666667,0.6524313501562282,8.070833333333335,0.8374283443280632,191.0,48.805737367649485,253.125,56.64175176915221
29.8,73,0.0,1001.46783,3.604497,182,3,3,6,2,0,26.8,24.3,25.5,27.5,65.9,54.2,57.7,62.6,14.1,14.8,15.7,9.7,10.4,8.9,7.3,8.8,343.0,276.0,147.0,311.0,24.33333333333333,1.6107969042267882,30.675,5.9736559339646575,55.8,5.650486704700517,71.85416666666667,15.596766085276837,15.183333333333332,0.6242328625333311,11.5125,5.245147861305394,8.15,1.264515717577293,8.125000000000002,0.9423605882361868,220.66666666666663,76.23297624169385,255.875,59.38694959844874
31.2,65,0.0,1001.28546,7.823272,203,4,3,6,2,0,27.4,26.8,24.0,28.1,77.1,65.9,55.3,65.2,12.8,14.1,15.6,7.3,11.4,10.4,7.3,8.3,378.0,343.0,156.0,293.0,24.65,2.0206434618704816,30.67083333333333,5.976001219855131,59.03333333333334,10.459381753558104,72.45833333333333,15.503265200726558,14.699999999999998,1.0917875251164488,11.641666666666666,5.236736177916688,8.833333333333334,1.733974240485333,8.233333333333333,1.1499212323371073,259.1666666666667,88.87163026898222,258.6666666666667,63.52176392980299
